file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/annotation.NH283.gff	annotation	NH283	ASM_NH283	ANN_NH283			
/home/labuser/rdcheng/gd/manual_files/annotation.NH284.gff	annotation	NH284	ASM_NH284	ANN_NH284			
/home/labuser/rdcheng/gd/manual_files/annotation.NH285.gff	annotation	NH285	ASM_NH285	ANN_NH285			
/home/labuser/rdcheng/gd/manual_files/annotation.NH286.gff	annotation	NH286	ASM_NH286	ANN_NH286			
/home/labuser/rdcheng/gd/manual_files/annotation.Ninghui 21.gff	annotation	Ninghui 21	ASM_Ninghui 21	ANN_Ninghui 21			
/home/labuser/rdcheng/gd/manual_files/annotation.NJ11.gff	annotation	NJ11	ASM_NJ11	ANN_NJ11			
/home/labuser/rdcheng/gd/manual_files/annotation.NJ6.gff	annotation	NJ6	ASM_NJ6	ANN_NJ6			
/home/labuser/rdcheng/gd/manual_files/annotation.Npb-MSU.gff	annotation	Npb-MSU	ASM_Npb-MSU	ANN_Npb-MSU			
/home/labuser/rdcheng/gd/manual_files/annotation.Npb-T2T.gff	annotation	Npb-T2T	ASM_Npb-T2T	ANN_Npb-T2T			
/home/labuser/rdcheng/gd/manual_files/annotation.P1790-5-1M-4-5M-1B-3M-B.gff	annotation	P1790-5-1M-4-5M-1B-3M-B	ASM_P1790-5-1M-4-5M-1B-3M-B	ANN_P1790-5-1M-4-5M-1B-3M-B			
/home/labuser/rdcheng/gd/manual_files/annotation.PA64S.gff	annotation	PA64S	ASM_PA64S	ANN_PA64S			
/home/labuser/rdcheng/gd/manual_files/annotation.Pei C122.gff	annotation	Pei C122	ASM_Pei C122	ANN_Pei C122			
/home/labuser/rdcheng/gd/manual_files/annotation.PI653432.gff	annotation	PI653432	ASM_PI653432	ANN_PI653432			
/home/labuser/rdcheng/gd/manual_files/annotation.PI653439.gff	annotation	PI653439	ASM_PI653439	ANN_PI653439			
/home/labuser/rdcheng/gd/manual_files/annotation.PMS 10B.gff	annotation	PMS 10B	ASM_PMS 10B	ANN_PMS 10B			
/home/labuser/rdcheng/gd/manual_files/annotation.PPR1.gff	annotation	PPR1	ASM_PPR1	ANN_PPR1			
