assembly_code	accession	assembly_accession	assembly_name	species_code	assembly_level	biosample_accession	assembly_type	assembly_method	sequencing_technology	genome_size	chromosome_count	contig_count	n50	gc_content	reference	source_database	external_project	file_name	file_type	description
ASM_Baigedao	Baigedao		Baigedao genome assembly	ORYZA_SATIVA														genome.Baigedao.fasta	FASTA	
ASM_Baikehanhe	Baikehanhe		Baikehanhe genome assembly	ORYZA_SATIVA														genome.Baikehanhe.fasta	FASTA	
ASM_Balilla	Balilla		Balilla genome assembly	ORYZA_SATIVA														genome.Balilla.fasta	FASTA	
ASM_Baoxie -7B	Baoxie -7B		Baoxie -7B genome assembly	ORYZA_SATIVA														genome.Baoxie -7B.fasta	FASTA	
ASM_Baoxuan 21	Baoxuan 21		Baoxuan 21 genome assembly	ORYZA_SATIVA														genome.Baoxuan 21.fasta	FASTA	
ASM_Basmati1	Basmati1		Basmati1 genome assembly	ORYZA_SATIVA														genome.Basmati1.fasta	FASTA	
ASM_Basmati334	Basmati334		Basmati334 genome assembly	ORYZA_SATIVA														genome.Basmati334.fasta	FASTA	
ASM_Bawangbian 1	Bawangbian 1		Bawangbian 1 genome assembly	ORYZA_SATIVA														genome.Bawangbian 1.fasta	FASTA	
ASM_Baxiang	Baxiang		Baxiang genome assembly	ORYZA_SATIVA														genome.Baxiang.fasta	FASTA	
ASM_Biwusheng	Biwusheng		Biwusheng genome assembly	ORYZA_SATIVA														genome.Biwusheng.fasta	FASTA	
ASM_BRC 25-146-2-1	BRC 25-146-2-1		BRC 25-146-2-1 genome assembly	ORYZA_SATIVA														genome.BRC 25-146-2-1.fasta	FASTA	
ASM_Buleida A-75	Buleida A-75		Buleida A-75 genome assembly	ORYZA_SATIVA														genome.Buleida A-75.fasta	FASTA	
ASM_BW 293-2	BW 293-2		BW 293-2 genome assembly	ORYZA_SATIVA														genome.BW 293-2.fasta	FASTA	
ASM_C 894-21	C 894-21		C 894-21 genome assembly	ORYZA_SATIVA														genome.C 894-21.fasta	FASTA	
ASM_C62S	C62S		C62S assembly	ORYZA_SATIVA												Public database		genome.C62S.fasta	FASTA	Assembly context for validated manual_files coordinate data of C62S.
ASM_C7	C7		C7 assembly	ORYZA_SATIVA												Public database		genome.C7.fasta	FASTA	Assembly context for validated manual_files coordinate data of C7.
ASM_CarolinaGoldSelect	CarolinaGoldSelect		CarolinaGoldSelect genome assembly	ORYZA_SATIVA														genome.CarolinaGoldSelect.fasta	FASTA	
ASM_CG14	CG14		CG14 assembly	ORYZA_SATIVA												Public database		genome.CG14.fasta	FASTA	Assembly context for validated manual_files coordinate data of CG14.
ASM_CHANH 148	CHANH 148		CHANH 148 genome assembly	ORYZA_SATIVA														genome.CHANH 148.fasta	FASTA	
ASM_Chaoyangyihao B	Chaoyangyihao B		Chaoyangyihao B genome assembly	ORYZA_SATIVA														genome.Chaoyangyihao B.fasta	FASTA	
ASM_Chengduai 3	Chengduai 3		Chengduai 3 genome assembly	ORYZA_SATIVA														genome.Chengduai 3.fasta	FASTA	
ASM_Chengnongshuijing	Chengnongshuijing		Chengnongshuijing genome assembly	ORYZA_SATIVA														genome.Chengnongshuijing.fasta	FASTA	
ASM_Chenwan 3	Chenwan 3		Chenwan 3 genome assembly	ORYZA_SATIVA														genome.Chenwan 3.fasta	FASTA	
ASM_Chimao	Chimao		Chimao genome assembly	ORYZA_SATIVA														genome.Chimao.fasta	FASTA	
ASM_CISOKAN	CISOKAN		CISOKAN genome assembly	ORYZA_SATIVA														genome.CISOKAN.fasta	FASTA	
ASM_CJS	CJS		CJS genome assembly	ORYZA_SATIVA														genome.CJS.fasta	FASTA	
ASM_CN1	CN1		CN1 genome assembly	ORYZA_SATIVA														genome.CN1.fasta	FASTA	
ASM_CO 22	CO 22		CO 22 genome assembly	ORYZA_SATIVA														genome.CO 22.fasta	FASTA	
ASM_Cungunuo	Cungunuo		Cungunuo genome assembly	ORYZA_SATIVA														genome.Cungunuo.fasta	FASTA	
ASM_Cunsanli	Cunsanli		Cunsanli genome assembly	ORYZA_SATIVA														genome.Cunsanli.fasta	FASTA	
ASM_CW01	CW01		CW01 genome assembly	ORYZA_SATIVA														genome.CW01.fasta	FASTA	
