assembly_code	accession	assembly_accession	assembly_name	species_code	scientific_name	assembly_level	reference	source_database	external_project	file_name	file_type	description
ASM_W1732_PRJEB73710	W1732		W1732 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1732.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1735_PRJEB73710	W1735		W1735 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1735.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1736_PRJEB73710	W1736		W1736 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1736.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1737_PRJEB73710	W1737		W1737 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1737.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1742_PRJEB73710	W1742		W1742 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1742.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1748_PRJEB73710	W1748		W1748 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1748.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1750_PRJEB73710	W1750		W1750 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1750.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1777_PRJEB73710	W1777		W1777 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1777.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1783_PRJEB73710	W1783		W1783 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1783.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1787_PRJEB73710	W1787		W1787 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1787.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1809_PRJEB73710	W1809		W1809 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1809.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1810_PRJEB73710	W1810		W1810 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1810.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1825_PRJEB73710	W1825		W1825 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1825.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1839_PRJEB73710	W1839		W1839 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1839.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1859_PRJEB73710	W1859		W1859 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1859.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1865_PRJEB73710	W1865		W1865 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1865.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1880_PRJEB73710	W1880		W1880 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1880.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1890_PRJEB73710	W1890		W1890 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1890.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1895_PRJEB73710	W1895		W1895 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1895.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
