id	accession	species_id	species_code	sub_population	country	region	longitude	latitude	description
553	W3035		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.3414719	22.63189697	Yulin City, Guangxi
548	W3037		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.60844	23.099092	Gui county, Guangxi
547	W3038		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.36	23.07	Gui county, Guangxi
550	W3040		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.07166	23.394571	Guiping county, Guangxi
546	W3046		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.26704	22.692957	Heng county, Guangxi
541	W3047		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	106.90867	23.73387	Tianyang County, Guangxi
540	W3051		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	106.6121063	23.90158272	Baise City, Guangxi
542	W3052		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	107.00867	23.73387	Tianyang County, Guangxi
526	W3054		ORYZA_RUFIPOGON	Or-II	China	East_Asia	110.70747	18.800625	Wanning County, Hainan Province
555	W3055		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.80747	18.800625	Wanning County, Hainan Province
543	W3063		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	108.63303	19.097265	East Li Autonomous County, Hainan
544	W3066		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.1728	18.746597	East Li Autonomous County, Hainan
556	W3071		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.7559	19.620953	Wenchang County, Hainan Province
557	W3074		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.8559	19.620953	Wenchang County, Hainan Province
562	W3082		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	116.6061	28.232292	Dongxiang County, jiangxi Province
538	W3086		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	102.00642	23.604008	Yuanjiang Hani, Yi and Dai Autonomous County, Yunnan
539	W3088		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	102.10642	23.604008	Yuanjiang Hani, Yi and Dai Autonomous County, Yunnan
512	W3090		ORYZA_RUFIPOGON	Or-II	China	East_Asia	100.79406	22.012938	Jinghong County, Yunnan Province
561	W3092		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	113.55217	26.801975	Chalin County, Hunan Province
558	W3096		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	111.33645	25.276974	Jiangyong County, Hunan Province
