sample_code	sample_name	species_code	accession	tissue	treatment	replicate	data_type	description	experiment_accession	biosample_accession	run_count	run_accessions	ena_study	instrument_platform	instrument_model
ERX12707398	W3033_seedling	ORYZA_RUFIPOGON	W3033	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396834; ENA_sample=ERS18417415; Experiment=ERX12707398; Run=ERR13336432; source=ENA PRJEB73710	ERX12707398	SAMEA115396834	1	ERR13336432	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707544	W3033_leaf	ORYZA_RUFIPOGON	W3033	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396834; ENA_sample=ERS18417415; Experiment=ERX12707544; Run=ERR13336578; source=ENA PRJEB73710	ERX12707544	SAMEA115396834	1	ERR13336578	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707691	W3033_root	ORYZA_RUFIPOGON	W3033	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396834; ENA_sample=ERS18417415; Experiment=ERX12707691; Run=ERR13336725; source=ENA PRJEB73710	ERX12707691	SAMEA115396834	1	ERR13336725	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707266	W3035_fringe	ORYZA_RUFIPOGON	W3035	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396835; ENA_sample=ERS18417416; Experiment=ERX12707266; Run=ERR13336300; source=ENA PRJEB73710	ERX12707266	SAMEA115396835	1	ERR13336300	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707545	W3035_leaf	ORYZA_RUFIPOGON	W3035	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396835; ENA_sample=ERS18417416; Experiment=ERX12707545; Run=ERR13336579; source=ENA PRJEB73710	ERX12707545	SAMEA115396835	1	ERR13336579	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707692	W3035_root	ORYZA_RUFIPOGON	W3035	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396835; ENA_sample=ERS18417416; Experiment=ERX12707692; Run=ERR13336726; source=ENA PRJEB73710	ERX12707692	SAMEA115396835	1	ERR13336726	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707399	W3037_seedling	ORYZA_RUFIPOGON	W3037	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396836; ENA_sample=ERS18417417; Experiment=ERX12707399; Run=ERR13336433; source=ENA PRJEB73710	ERX12707399	SAMEA115396836	1	ERR13336433	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707546	W3037_leaf	ORYZA_RUFIPOGON	W3037	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396836; ENA_sample=ERS18417417; Experiment=ERX12707546; Run=ERR13336580; source=ENA PRJEB73710	ERX12707546	SAMEA115396836	1	ERR13336580	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707693	W3037_root	ORYZA_RUFIPOGON	W3037	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396836; ENA_sample=ERS18417417; Experiment=ERX12707693; Run=ERR13336727; source=ENA PRJEB73710	ERX12707693	SAMEA115396836	1	ERR13336727	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707267	W3038_fringe	ORYZA_RUFIPOGON	W3038	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396837; ENA_sample=ERS18417418; Experiment=ERX12707267; Run=ERR13336301; source=ENA PRJEB73710	ERX12707267	SAMEA115396837	1	ERR13336301	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707400	W3038_seedling	ORYZA_RUFIPOGON	W3038	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396837; ENA_sample=ERS18417418; Experiment=ERX12707400; Run=ERR13336434; source=ENA PRJEB73710	ERX12707400	SAMEA115396837	1	ERR13336434	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707547	W3038_leaf	ORYZA_RUFIPOGON	W3038	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396837; ENA_sample=ERS18417418; Experiment=ERX12707547; Run=ERR13336581; source=ENA PRJEB73710	ERX12707547	SAMEA115396837	1	ERR13336581	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707694	W3038_root	ORYZA_RUFIPOGON	W3038	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396837; ENA_sample=ERS18417418; Experiment=ERX12707694; Run=ERR13336728; source=ENA PRJEB73710	ERX12707694	SAMEA115396837	1	ERR13336728	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707268	W3040_fringe	ORYZA_RUFIPOGON	W3040	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396838; ENA_sample=ERS18417419; Experiment=ERX12707268; Run=ERR13336302; source=ENA PRJEB73710	ERX12707268	SAMEA115396838	1	ERR13336302	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707401	W3040_seedling	ORYZA_RUFIPOGON	W3040	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396838; ENA_sample=ERS18417419; Experiment=ERX12707401; Run=ERR13336435; source=ENA PRJEB73710	ERX12707401	SAMEA115396838	1	ERR13336435	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707548	W3040_leaf	ORYZA_RUFIPOGON	W3040	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396838; ENA_sample=ERS18417419; Experiment=ERX12707548; Run=ERR13336582; source=ENA PRJEB73710	ERX12707548	SAMEA115396838	1	ERR13336582	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707695	W3040_root	ORYZA_RUFIPOGON	W3040	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396838; ENA_sample=ERS18417419; Experiment=ERX12707695; Run=ERR13336729; source=ENA PRJEB73710	ERX12707695	SAMEA115396838	1	ERR13336729	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707402	W3046_seedling	ORYZA_RUFIPOGON	W3046	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396839; ENA_sample=ERS18417420; Experiment=ERX12707402; Run=ERR13336436; source=ENA PRJEB73710	ERX12707402	SAMEA115396839	1	ERR13336436	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707549	W3046_leaf	ORYZA_RUFIPOGON	W3046	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396839; ENA_sample=ERS18417420; Experiment=ERX12707549; Run=ERR13336583; source=ENA PRJEB73710	ERX12707549	SAMEA115396839	1	ERR13336583	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707696	W3046_root	ORYZA_RUFIPOGON	W3046	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396839; ENA_sample=ERS18417420; Experiment=ERX12707696; Run=ERR13336730; source=ENA PRJEB73710	ERX12707696	SAMEA115396839	1	ERR13336730	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707269	W3047_fringe	ORYZA_RUFIPOGON	W3047	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396840; ENA_sample=ERS18417421; Experiment=ERX12707269; Run=ERR13336303; source=ENA PRJEB73710	ERX12707269	SAMEA115396840	1	ERR13336303	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707403	W3047_seedling	ORYZA_RUFIPOGON	W3047	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396840; ENA_sample=ERS18417421; Experiment=ERX12707403; Run=ERR13336437; source=ENA PRJEB73710	ERX12707403	SAMEA115396840	1	ERR13336437	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707550	W3047_leaf	ORYZA_RUFIPOGON	W3047	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396840; ENA_sample=ERS18417421; Experiment=ERX12707550; Run=ERR13336584; source=ENA PRJEB73710	ERX12707550	SAMEA115396840	1	ERR13336584	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707697	W3047_root	ORYZA_RUFIPOGON	W3047	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396840; ENA_sample=ERS18417421; Experiment=ERX12707697; Run=ERR13336731; source=ENA PRJEB73710	ERX12707697	SAMEA115396840	1	ERR13336731	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707270	W3051_fringe	ORYZA_RUFIPOGON	W3051	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396841; ENA_sample=ERS18417422; Experiment=ERX12707270; Run=ERR13336304; source=ENA PRJEB73710	ERX12707270	SAMEA115396841	1	ERR13336304	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707404	W3051_seedling	ORYZA_RUFIPOGON	W3051	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396841; ENA_sample=ERS18417422; Experiment=ERX12707404; Run=ERR13336438; source=ENA PRJEB73710	ERX12707404	SAMEA115396841	1	ERR13336438	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707551	W3051_leaf	ORYZA_RUFIPOGON	W3051	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396841; ENA_sample=ERS18417422; Experiment=ERX12707551; Run=ERR13336585; source=ENA PRJEB73710	ERX12707551	SAMEA115396841	1	ERR13336585	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707698	W3051_root	ORYZA_RUFIPOGON	W3051	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396841; ENA_sample=ERS18417422; Experiment=ERX12707698; Run=ERR13336732; source=ENA PRJEB73710	ERX12707698	SAMEA115396841	1	ERR13336732	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707271	W3052_fringe	ORYZA_RUFIPOGON	W3052	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396842; ENA_sample=ERS18417423; Experiment=ERX12707271; Run=ERR13336305; source=ENA PRJEB73710	ERX12707271	SAMEA115396842	1	ERR13336305	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707405	W3052_seedling	ORYZA_RUFIPOGON	W3052	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396842; ENA_sample=ERS18417423; Experiment=ERX12707405; Run=ERR13336439; source=ENA PRJEB73710	ERX12707405	SAMEA115396842	1	ERR13336439	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707552	W3052_leaf	ORYZA_RUFIPOGON	W3052	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396842; ENA_sample=ERS18417423; Experiment=ERX12707552; Run=ERR13336586; source=ENA PRJEB73710	ERX12707552	SAMEA115396842	1	ERR13336586	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707699	W3052_root	ORYZA_RUFIPOGON	W3052	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396842; ENA_sample=ERS18417423; Experiment=ERX12707699; Run=ERR13336733; source=ENA PRJEB73710	ERX12707699	SAMEA115396842	1	ERR13336733	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707272	W3054_fringe	ORYZA_RUFIPOGON	W3054	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396843; ENA_sample=ERS18417424; Experiment=ERX12707272; Run=ERR13336306; source=ENA PRJEB73710	ERX12707272	SAMEA115396843	1	ERR13336306	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707406	W3054_seedling	ORYZA_RUFIPOGON	W3054	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396843; ENA_sample=ERS18417424; Experiment=ERX12707406; Run=ERR13336440; source=ENA PRJEB73710	ERX12707406	SAMEA115396843	1	ERR13336440	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707553	W3054_leaf	ORYZA_RUFIPOGON	W3054	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396843; ENA_sample=ERS18417424; Experiment=ERX12707553; Run=ERR13336587; source=ENA PRJEB73710	ERX12707553	SAMEA115396843	1	ERR13336587	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707700	W3054_root	ORYZA_RUFIPOGON	W3054	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396843; ENA_sample=ERS18417424; Experiment=ERX12707700; Run=ERR13336734; source=ENA PRJEB73710	ERX12707700	SAMEA115396843	1	ERR13336734	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707273	W3055_fringe	ORYZA_RUFIPOGON	W3055	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396844; ENA_sample=ERS18417425; Experiment=ERX12707273; Run=ERR13336307; source=ENA PRJEB73710	ERX12707273	SAMEA115396844	1	ERR13336307	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707554	W3055_leaf	ORYZA_RUFIPOGON	W3055	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396844; ENA_sample=ERS18417425; Experiment=ERX12707554; Run=ERR13336588; source=ENA PRJEB73710	ERX12707554	SAMEA115396844	1	ERR13336588	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707701	W3055_root	ORYZA_RUFIPOGON	W3055	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396844; ENA_sample=ERS18417425; Experiment=ERX12707701; Run=ERR13336735; source=ENA PRJEB73710	ERX12707701	SAMEA115396844	1	ERR13336735	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707274	W3063_fringe	ORYZA_RUFIPOGON	W3063	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396845; ENA_sample=ERS18417426; Experiment=ERX12707274; Run=ERR13336308; source=ENA PRJEB73710	ERX12707274	SAMEA115396845	1	ERR13336308	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707407	W3063_seedling	ORYZA_RUFIPOGON	W3063	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396845; ENA_sample=ERS18417426; Experiment=ERX12707407; Run=ERR13336441; source=ENA PRJEB73710	ERX12707407	SAMEA115396845	1	ERR13336441	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707555	W3063_leaf	ORYZA_RUFIPOGON	W3063	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396845; ENA_sample=ERS18417426; Experiment=ERX12707555; Run=ERR13336589; source=ENA PRJEB73710	ERX12707555	SAMEA115396845	1	ERR13336589	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707702	W3063_root	ORYZA_RUFIPOGON	W3063	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396845; ENA_sample=ERS18417426; Experiment=ERX12707702; Run=ERR13336736; source=ENA PRJEB73710	ERX12707702	SAMEA115396845	1	ERR13336736	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707408	W3066_seedling	ORYZA_RUFIPOGON	W3066	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396846; ENA_sample=ERS18417427; Experiment=ERX12707408; Run=ERR13336442; source=ENA PRJEB73710	ERX12707408	SAMEA115396846	1	ERR13336442	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707556	W3066_leaf	ORYZA_RUFIPOGON	W3066	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396846; ENA_sample=ERS18417427; Experiment=ERX12707556; Run=ERR13336590; source=ENA PRJEB73710	ERX12707556	SAMEA115396846	1	ERR13336590	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707703	W3066_root	ORYZA_RUFIPOGON	W3066	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396846; ENA_sample=ERS18417427; Experiment=ERX12707703; Run=ERR13336737; source=ENA PRJEB73710	ERX12707703	SAMEA115396846	1	ERR13336737	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707275	W3071_fringe	ORYZA_RUFIPOGON	W3071	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396847; ENA_sample=ERS18417428; Experiment=ERX12707275; Run=ERR13336309; source=ENA PRJEB73710	ERX12707275	SAMEA115396847	1	ERR13336309	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707409	W3071_seedling	ORYZA_RUFIPOGON	W3071	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396847; ENA_sample=ERS18417428; Experiment=ERX12707409; Run=ERR13336443; source=ENA PRJEB73710	ERX12707409	SAMEA115396847	1	ERR13336443	ERP158450	ILLUMINA	Illumina HiSeq 4000
