accession	project_code	project_name	dataset_code	dataset_name	dataset_type	ncbi_bioproject	ncbi_sra	external_url	description	run_count	experiment_count	ena_study	biosample_count	run_accessions	experiment_accessions	external_database
W2197	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2197_HIC	W2197 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765526	ERX13166698	ENA
W2197	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2197_RNASEQ	W2197 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336560;ERR13336707	ERX12707526;ERX12707673	ENA
W2197	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2197_WGS	W2197 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336154;ERR13765451	ERX12707120;ERX13166623	ENA
W2267	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2267_RNASEQ	W2267 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336284;ERR13336415;ERR13336561;ERR13336708	ERX12707250;ERX12707381;ERX12707527;ERX12707674	ENA
W2267	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2267_WGS	W2267 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336155;ERR13765452	ERX12707121;ERX13166624	ENA
W2275	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2275_HIC	W2275 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765527	ERX13166699	ENA
W2275	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2275_RNASEQ	W2275 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336285;ERR13336416;ERR13336562;ERR13336709	ERX12707251;ERX12707382;ERX12707528;ERX12707675	ENA
W2275	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2275_WGS	W2275 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336156;ERR13765453	ERX12707122;ERX13166625	ENA
W2283	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2283_RNASEQ	W2283 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336286;ERR13336417;ERR13336563;ERR13336710	ERX12707252;ERX12707383;ERX12707529;ERX12707676	ENA
W2283	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2283_WGS	W2283 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336157;ERR13765454	ERX12707123;ERX13166626	ENA
W2305	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2305_RNASEQ	W2305 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336287;ERR13336418;ERR13336564;ERR13336711	ERX12707253;ERX12707384;ERX12707530;ERX12707677	ENA
W2305	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2305_WGS	W2305 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336052;ERR13765455	ERX12707018;ERX13166627	ENA
