annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W1536_PRJEB73710	W1536	ASM_W1536_PRJEB73710	W1536 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1536.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1547_PRJEB73710	W1547	ASM_W1547_PRJEB73710	W1547 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1547.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1550_PRJEB73710	W1550	ASM_W1550_PRJEB73710	W1550 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1550.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1552_PRJEB73710	W1552	ASM_W1552_PRJEB73710	W1552 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1552.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1553_PRJEB73710	W1553	ASM_W1553_PRJEB73710	W1553 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1553.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1556_PRJEB73710	W1556	ASM_W1556_PRJEB73710	W1556 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1556.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1557_PRJEB73710	W1557	ASM_W1557_PRJEB73710	W1557 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1557.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1559_PRJEB73710	W1559	ASM_W1559_PRJEB73710	W1559 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1559.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1619_PRJEB73710	W1619	ASM_W1619_PRJEB73710	W1619 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1619.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1666_PRJEB73710	W1666	ASM_W1666_PRJEB73710	W1666 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1666.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1668_PRJEB73710	W1668	ASM_W1668_PRJEB73710	W1668 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1668.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1677_PRJEB73710	W1677	ASM_W1677_PRJEB73710	W1677 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1677.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1679_PRJEB73710	W1679	ASM_W1679_PRJEB73710	W1679 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1679.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1718_PRJEB73710	W1718	ASM_W1718_PRJEB73710	W1718 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1718.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1719_PRJEB73710	W1719	ASM_W1719_PRJEB73710	W1719 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1719.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1723_PRJEB73710	W1723	ASM_W1723_PRJEB73710	W1723 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1723.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1725_PRJEB73710	W1725	ASM_W1725_PRJEB73710	W1725 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1725.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1726_PRJEB73710	W1726	ASM_W1726_PRJEB73710	W1726 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1726.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1731_PRJEB73710	W1731	ASM_W1731_PRJEB73710	W1731 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1731.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1732_PRJEB73710	W1732	ASM_W1732_PRJEB73710	W1732 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1732.gff	GFF	Genome annotation associated with rice pangenome assembly
