run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	experiment_accession	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	instrument_platform	instrument_model	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR13336424	PRJEB73710	ERP158450	SAMEA115396826	ERS18417407	Wild rice W2320	W2320 HiFi whole-genome sequencing	ERX12707390	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13336424/ERR13336424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13336424/ERR13336424_2.fastq.gz	07b8a103a60d36647ddd425e3dd1e643;fcc21b91fff087597f9543c7159b2f7e	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336424/W2320_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336424/W2320_seedling_clean_2.fastq.gz	9dc529b6e0049660354445a0cbfdf276;48be4271228c1b44cc2d1e5b9ba0d0e7
ERR13336426	PRJEB73710	ERP158450	SAMEA115396828	ERS18417409	Wild rice W2332	W2332 HiFi whole-genome sequencing	ERX12707392	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13336426/ERR13336426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13336426/ERR13336426_2.fastq.gz	19e9a382141511b3ad1eb5850fc7387b;812d05e1b205b0ce77c3ce5f0281d5d3	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336426/W2332_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336426/W2332_seedling_clean_2.fastq.gz	a0869fe113d274ad04dda76d6758e426;d385479abe0d1e06b6482d335c1bfd1c
ERR13336429	PRJEB73710	ERP158450	SAMEA115396831	ERS18417412	Wild rice W3009	W3009 HiFi whole-genome sequencing	ERX12707395	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13336429/ERR13336429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/029/ERR13336429/ERR13336429_2.fastq.gz	e70f7360b87f7c962ac57ace2390f1db;639168e9091bfe590a498c92ef391b89	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336429/W3009_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336429/W3009_seedling_clean_2.fastq.gz	1760e45a65cf8d868c61a47e01442d28;f7b84e2e60e8067c817897cff87a3b99
ERR13336430	PRJEB73710	ERP158450	SAMEA115396832	ERS18417413	Wild rice W3012	W3012 HiFi whole-genome sequencing	ERX12707396	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13336430/ERR13336430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13336430/ERR13336430_2.fastq.gz	4284699bc0c95853efb9fabf9162d615;60e546e9d3fd92dacc6ec30e027810ad	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336430/W3012_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336430/W3012_seedling_clean_2.fastq.gz	d3d0153612d44ae79d5e290c38f3ffeb;2aea2d3fd4e171fe6edab1d031520193
ERR13336435	PRJEB73710	ERP158450	SAMEA115396838	ERS18417419	Wild rice W3040	W3040 ONT whole-genome sequencing	ERX12707401	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13336435/ERR13336435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13336435/ERR13336435_2.fastq.gz	816818e5eedb8ab106e65ae7ef0886b9;12904c1249658a37b590f9d228477a78	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336435/W3040_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336435/W3040_seedling_clean_2.fastq.gz	71a732363fe0b9899290ba8271410799;8fdb4066b71109d41cc9dd532a63f823
ERR13336440	PRJEB73710	ERP158450	SAMEA115396843	ERS18417424	Wild rice W3054	W3054 HiFi whole-genome sequencing	ERX12707406	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13336440/ERR13336440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/040/ERR13336440/ERR13336440_2.fastq.gz	b85548a555cfb40eaf7c37b123ebf80a;65c2b7d4e7e68c4ba7665ec587b17203	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336440/W3054_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336440/W3054_seedling_clean_2.fastq.gz	5629d7b0b72d6b882ef45ec49d574f89;c452e568752a54669c42753fdd944de7
ERR13336443	PRJEB73710	ERP158450	SAMEA115396847	ERS18417428	Wild rice W3071	W3071 HiFi whole-genome sequencing	ERX12707409	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336443/ERR13336443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336443/ERR13336443_2.fastq.gz	7d89fa23c4dc100281530c4693fbd2ef;39e7ea1001ecf014fcf2ef8cb8fe29fd	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336443/W3071_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336443/W3071_seedling_clean_2.fastq.gz	052b46449b48a35edeb55eccf32cbe88;6b88651658ad136c8c49279fc118de6a
ERR13336447	PRJEB73710	ERP158450	SAMEA115396852	ERS18417433	Wild rice W3090	W3090 HiFi whole-genome sequencing	ERX12707413	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336447/ERR13336447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336447/ERR13336447_2.fastq.gz	f5af1fd8d9e7d401acb57258a80447ee;a29a7172c60b09d200f2727172ee6fb4	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336447/W3090_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336447/W3090_seedling_clean_2.fastq.gz	26e8cb9ed2eb3dea2f77cd0cb39a3a9d;d82f3aeb44321f701abd1844e6f74d50
ERR13336448	PRJEB73710	ERP158450	SAMEA115396853	ERS18417434	Wild rice W3092	W3092 HiFi whole-genome sequencing	ERX12707414	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13336448/ERR13336448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13336448/ERR13336448_2.fastq.gz	1fb982ef83abd52a6a707dfe5d5e1a76;62545033fb1c20208f03a4987e3ef48b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336448/W3092_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336448/W3092_seedling_clean_2.fastq.gz	ae8f2c4165a74b1115082e66a20016ad;a5a1813ba9848d688d16ca16cf14eae6
ERR13336451	PRJEB73710	ERP158450	SAMEA115396709	ERS18417290	Rice Gla4	Gla4 HiFi whole-genome sequencing	ERX12707417	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13336451/ERR13336451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13336451/ERR13336451_2.fastq.gz	b7b8f36457841ff1b8e6c87eb78df2f1;f609bb03fb8df5da7545fc1df3f1866b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336451/Gla4_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336451/Gla4_leaf_clean_2.fastq.gz	b94c0d37158ffe424fa305294acb69df;c6bf6d9786996c5a4ef7e4e34f5bf824
ERR13336452	PRJEB73710	ERP158450	SAMEA115396710	ERS18417291	Rice GP100	GP100 HiFi whole-genome sequencing	ERX12707418	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336452/ERR13336452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336452/ERR13336452_2.fastq.gz	06bc1bab24dc93eb44e4a6be7801bf73;ccb1034c4778fcc39160d21d4bae6315	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336452/GP100_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336452/GP100_leaf_clean_2.fastq.gz	cb86a422eaf1b23135d6c3d852bc4f91;5b74ffbc073b9db01be3896b72163daf
ERR13336455	PRJEB73710	ERP158450	SAMEA115396713	ERS18417294	Rice GP505	GP505 HiFi whole-genome sequencing	ERX12707421	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13336455/ERR13336455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13336455/ERR13336455_2.fastq.gz	39faa9ce005768aca7ba09fdf8f6f517;a79c43534b4a733fd9f0d99bbab34f1e	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336455/GP505_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336455/GP505_leaf_clean_2.fastq.gz	154d549daaf4e1e88d5fbc0b7dd9d3bf;e7401060ba0efdedd2bee421874057bf
ERR13336466	PRJEB73710	ERP158450	SAMEA115396819	ERS18417400	Rice OL2296	OL2296 HiFi whole-genome sequencing	ERX12707432	Oryza longistaminata		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/066/ERR13336466/ERR13336466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/066/ERR13336466/ERR13336466_2.fastq.gz	7bdda3824a23dad765dbffd12d220fd9;82cf190df24d0352055880fb09f48b2a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336466/OL2296_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336466/OL2296_leaf_clean_2.fastq.gz	8cfbd259094b7659bbd73b962b480179;beeb5f647d34bc1451250261d4338c17
ERR13336468	PRJEB73710	ERP158450	SAMEA115396856	ERS18417437	Rice OL3102	OL3102 HiFi whole-genome sequencing	ERX12707434	Oryza longistaminata		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/068/ERR13336468/ERR13336468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/068/ERR13336468/ERR13336468_2.fastq.gz	d74e87fe7575799e0699ce7b7e620923;a7d69742c87d5dd75cf140f8bcec7fb2	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336468/OL3102_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336468/OL3102_leaf_clean_2.fastq.gz	545177247b38084c28ff5c9b037e024a;ecd0bb772b783b02775bd4e8393e1f61
ERR13336481	PRJEB73710	ERP158450	SAMEA115396735	ERS18417316	Wild rice W0157	W0157 HiFi whole-genome sequencing	ERX12707447	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13336481/ERR13336481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13336481/ERR13336481_2.fastq.gz	ea2d473eb437f3e4b6332c4c88203a0b;7fb9d646cafe0526f3016dda7659b447	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336481/W0157_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336481/W0157_leaf_clean_2.fastq.gz	c0e08f7495963810784feb9759bb2acd;78faffea185d3443dc60d2baae376864
ERR13336482	PRJEB73710	ERP158450	SAMEA115396736	ERS18417317	Wild rice W0164	W0164 HiFi whole-genome sequencing	ERX12707448	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/082/ERR13336482/ERR13336482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/082/ERR13336482/ERR13336482_2.fastq.gz	2e273bf682844620d4876107858f94af;aea1848196a58f3924699cb7549473cc	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336482/W0164_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336482/W0164_leaf_clean_2.fastq.gz	5db0f33abb7c68fd71dd80f4dabd5697;45c61addd9b32e60610263df3b6ff698
ERR13336484	PRJEB73710	ERP158450	SAMEA115396738	ERS18417319	Wild rice W0169	W0169 HiFi whole-genome sequencing	ERX12707450	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/084/ERR13336484/ERR13336484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/084/ERR13336484/ERR13336484_2.fastq.gz	f1313661464a8ab31edf1ab34f0a54c1;3e8a9f8fe500320f4ab6280b00e2ec5c	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336484/W0169_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336484/W0169_leaf_clean_2.fastq.gz	e65207c9d00127b4e628e1ab3b135672;13f8f0921d6ef0938ad3cb0b1d294f93
ERR13336487	PRJEB73710	ERP158450	SAMEA115396741	ERS18417322	Wild rice W0180	W0180 HiFi whole-genome sequencing	ERX12707453	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13336487/ERR13336487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13336487/ERR13336487_2.fastq.gz	46f7a934919db8655e57351c0a01b017;0f8036c4bb22f6fbb993edd65da2cdcc	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336487/W0180_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336487/W0180_leaf_clean_2.fastq.gz	cec54bf66ac3bea45cc1526b92021be3;8a876050655f8b866de81c8e23c068de
ERR13336493	PRJEB73710	ERP158450	SAMEA115396747	ERS18417328	Wild rice W0600	W0600 HiFi whole-genome sequencing	ERX12707459	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13336493/ERR13336493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13336493/ERR13336493_2.fastq.gz	10cc89a41e24f690c5c19722a87150e3;a55676ab320b04a7c204bf0302ea98e8	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336493/W0600_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336493/W0600_leaf_clean_2.fastq.gz	5df8b686a7040298410a069fdc30bccd;88814dad1f17fa0b1002020afa619e6d
ERR13336508	PRJEB73710	ERP158450	SAMEA115396762	ERS18417343	Wild rice W1292	W1292 HiFi whole-genome sequencing	ERX12707474	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13336508/ERR13336508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13336508/ERR13336508_2.fastq.gz	9227e07e495873e4713d36ebcb509468;a7bb56f5675553b7035e6cba2f230ade	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336508/W1292_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336508/W1292_leaf_clean_2.fastq.gz	140b75621d623ed3745dbc40b68c5e99;f500ac3dd6f2b5b89e4980dafedbf035
ERR13336511	PRJEB73710	ERP158450	SAMEA115396765	ERS18417346	Wild rice W1550	W1550 HiFi whole-genome sequencing	ERX12707477	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/011/ERR13336511/ERR13336511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/011/ERR13336511/ERR13336511_2.fastq.gz	dd4201d08bd6f872c33d5cd538abfb87;140880c030bd4b921818410caa0acada	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336511/W1550_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336511/W1550_leaf_clean_2.fastq.gz	54f6400d8576495090eed270bd424101;7aac4acc6d60b06fe20e823128826fc6
ERR13336512	PRJEB73710	ERP158450	SAMEA115396766	ERS18417347	Wild rice W1552	W1552 HiFi whole-genome sequencing	ERX12707478	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/012/ERR13336512/ERR13336512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/012/ERR13336512/ERR13336512_2.fastq.gz	6093a797563aafb2d024bebb3cab14e2;8d553939ecac432bd7498a39478f99fb	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336512/W1552_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336512/W1552_leaf_clean_2.fastq.gz	197cb87cdfeab1a7a58da704e52e6410;007bd58e2cd968ab1d52ac44bb6394ee
ERR13336513	PRJEB73710	ERP158450	SAMEA115396767	ERS18417348	Wild rice W1553	W1553 HiFi whole-genome sequencing	ERX12707479	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13336513/ERR13336513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13336513/ERR13336513_2.fastq.gz	3ce88ea39acdf179ceb028fa8165e265;9275115f3faf13594d412cd88144d227	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336513/W1553_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336513/W1553_leaf_clean_2.fastq.gz	42c635e9a3a5e9f95212c5bc36612cf6;c0f4bc0e3b80f17299accd4340f5483a
ERR13336516	PRJEB73710	ERP158450	SAMEA115396770	ERS18417351	Wild rice W1559	W1559 HiFi whole-genome sequencing	ERX12707482	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13336516/ERR13336516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13336516/ERR13336516_2.fastq.gz	89ae91002392126486a22ef4e44b210a;d5af5805a9b90987c81a2730cb059520	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336516/W1559_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336516/W1559_leaf_clean_2.fastq.gz	a5eb992306169d52788fe39e884d2dfd;68db03f97c028f3d34f47b68b7aa30cb
ERR13336518	PRJEB73710	ERP158450	SAMEA115396772	ERS18417353	Wild rice W1666	W1666 HiFi whole-genome sequencing	ERX12707484	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336518/ERR13336518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336518/ERR13336518_2.fastq.gz	b3a6a343533dea200fb1e5ecf0b9e67a;d03911c35cb2b6e304aa30d7adb87e2b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336518/W1666_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336518/W1666_leaf_clean_2.fastq.gz	3e4af6803e3494fd6340fbc95fae0b39;686e9e63f52bf9d88102e6bfd52dc492
ERR13336520	PRJEB73710	ERP158450	SAMEA115396774	ERS18417355	Wild rice W1677	W1677 HiFi whole-genome sequencing	ERX12707486	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336520/ERR13336520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336520/ERR13336520_2.fastq.gz	76fcbf4794f1b752d965c763c9fa6902;c74181edbd1b208f845b99861b092f73	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336520/W1677_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336520/W1677_leaf_clean_2.fastq.gz	9bac701f8517f4fce022cb1e0027fbc4;8620b32995fde7a2c0d0f049aa6a4aa4
ERR13336523	PRJEB73710	ERP158450	SAMEA115396777	ERS18417358	Wild rice W1719	W1719 HiFi whole-genome sequencing	ERX12707489	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/023/ERR13336523/ERR13336523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/023/ERR13336523/ERR13336523_2.fastq.gz	95dd6dc6ebb153dbeddc9bf6077a4758;132d5107d40f8d2a3414a550a285a851	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336523/W1719_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336523/W1719_leaf_clean_2.fastq.gz	c9b5182a683294f92a52dc8cce769327;9df788aae1979953c2fc2e9c4390af36
ERR13336524	PRJEB73710	ERP158450	SAMEA115396778	ERS18417359	Wild rice W1723	W1723 ONT whole-genome sequencing	ERX12707490	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13336524/ERR13336524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13336524/ERR13336524_2.fastq.gz	1156cbe0eeba6d1b1f9940ab3b183091;11da3958c2833af0489bff6f7d992080	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336524/W1723_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336524/W1723_leaf_clean_2.fastq.gz	c24214e576a89df589e0d9cea0924ccf;20bef8e36a01ea5c01b0db1a3a507ba9
ERR13336527	PRJEB73710	ERP158450	SAMEA115396781	ERS18417362	Wild rice W1731	W1731 HiFi whole-genome sequencing	ERX12707493	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13336527/ERR13336527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13336527/ERR13336527_2.fastq.gz	b287f2636a4c72a2c9bfc158677124c5;70f7e12ad4d05b9595dc076149ebceb4	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336527/W1731_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336527/W1731_leaf_clean_2.fastq.gz	1b233861cfc945503c34c759a029432c;550d66cf4a89754176ed6bd1b59a2cb7
ERR13336532	PRJEB73710	ERP158450	SAMEA115396786	ERS18417367	Wild rice W1742	W1742 HiFi whole-genome sequencing	ERX12707498	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13336532/ERR13336532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13336532/ERR13336532_2.fastq.gz	80397a9edcae8fdfc2bcb59fe6bf01fd;ea196cdf88eadb5bb2b66ad4d3e6cf7a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336532/W1742_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336532/W1742_leaf_clean_2.fastq.gz	bba1cf6c67a168c8692c60b9829bbb15;7d1bf6715c6731a237c33e205ef0d281
ERR13336536	PRJEB73710	ERP158450	SAMEA115396790	ERS18417371	Wild rice W1783	W1783 HiFi whole-genome sequencing	ERX12707502	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13336536/ERR13336536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13336536/ERR13336536_2.fastq.gz	24aa9d45578f88147b8d258912740e34;69899f6b888407550ee035152259390d	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336536/W1783_leaf_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336536/W1783_leaf_clean_2.fastq.gz	6172345b041a09012ad47cab12e2519e;8d5b3fcfdf30b3ff5a5fd4e8db875fcf
