run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	experiment_accession	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	instrument_platform	instrument_model	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR13336341	PRJEB73710	ERP158450	SAMEA115396735	ERS18417316	Wild rice W0157	W0157 HiFi whole-genome sequencing	ERX12707307	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13336341/ERR13336341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13336341/ERR13336341_2.fastq.gz	42a70c5042716f5145faa74b6e0ce14a;6ee81937e3b6dedab17dfe4b850b22f1	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336341/W0157_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336341/W0157_seedling_clean_2.fastq.gz	a493c10c0840f97676c65fe6f22ae511;41a2e056b1551a35243d90a0c394dffb
ERR13336347	PRJEB73710	ERP158450	SAMEA115396741	ERS18417322	Wild rice W0180	W0180 HiFi whole-genome sequencing	ERX12707313	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336347/ERR13336347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336347/ERR13336347_2.fastq.gz	2eda4b5ea2d1b45e51c3e6912449176c;4e2b9110b496301e84f15ad263e7233c	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336347/W0180_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336347/W0180_seedling_clean_2.fastq.gz	4428aba8d6d05f4cb091e8417d38b7e3;791144c458562a684418e1712697d977
ERR13336351	PRJEB73710	ERP158450	SAMEA115396745	ERS18417326	Wild rice W0594	W0594 HiFi whole-genome sequencing	ERX12707317	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13336351/ERR13336351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13336351/ERR13336351_2.fastq.gz	a8eac68a9b3a50f71d6959053a1c1a94;fd4e3eb3e5cd88a510ef7f821c34e422	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336351/W0594_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336351/W0594_seedling_clean_2.fastq.gz	587e0d3b06d87563e046c6012919693f;01e22fb3bc1f7430d603a92a5186c062
ERR13336352	PRJEB73710	ERP158450	SAMEA115396746	ERS18417327	Wild rice W0596	W0596 HiFi whole-genome sequencing	ERX12707318	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336352/ERR13336352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336352/ERR13336352_2.fastq.gz	fdc5bf2244b5d45bb8c53bfa62aebbce;095c14a539f6bb2fabe966fd31483d4b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336352/W0596_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336352/W0596_seedling_clean_2.fastq.gz	d0e17b5cfc98138fb206f690633c1e2f;930bf78877ffcd2fb8bd67eeeaee922c
ERR13336356	PRJEB73710	ERP158450	SAMEA115396750	ERS18417331	Wild rice W0632	W0632 HiFi whole-genome sequencing	ERX12707322	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/056/ERR13336356/ERR13336356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/056/ERR13336356/ERR13336356_2.fastq.gz	689219983e4dd6ae9a955ec7d4efa126;caeb3e6ed3392fec9185a10e88592fb0	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336356/W0632_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336356/W0632_seedling_clean_2.fastq.gz	ad72bb65250cb01b26ab6dba2693ae89;c853d67215be88526c601ffc51e5c89d
ERR13336360	PRJEB73710	ERP158450	SAMEA115396754	ERS18417335	Wild rice W1084	W1084 HiFi whole-genome sequencing	ERX12707326	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/060/ERR13336360/ERR13336360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/060/ERR13336360/ERR13336360_2.fastq.gz	02e3c48ba79de161cdfbe15726bbdd7a;105f8c66a265eb703ff078051d744714	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336360/W1084_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336360/W1084_seedling_clean_2.fastq.gz	ddd4948dcaa6e0095d2fa8f172509454;1cc8492a4b3e79b91e5c1f911ca49a22
ERR13336364	PRJEB73710	ERP158450	SAMEA115396758	ERS18417339	Wild rice W1126	W1126 HiFi whole-genome sequencing	ERX12707330	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/064/ERR13336364/ERR13336364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/064/ERR13336364/ERR13336364_2.fastq.gz	14ca5bf896f80436f2a30720e454cea0;4e7dd602c09b8b040d2700738424630a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336364/W1126_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336364/W1126_seedling_clean_2.fastq.gz	d278a9542509fd162f0a9cef567fb5f0;11147aa398a275a644b101ceb4f98be5
ERR13336366	PRJEB73710	ERP158450	SAMEA115396760	ERS18417341	Wild rice W1214	W1214 HiFi whole-genome sequencing	ERX12707332	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/066/ERR13336366/ERR13336366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/066/ERR13336366/ERR13336366_2.fastq.gz	c3f0d83282b76db05202ac20c06cc6d9;4fae413e20ccf8371a22b1fd0e2ff2f5	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336366/W1214_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336366/W1214_seedling_clean_2.fastq.gz	b0bceeaa141f94d04e622c72576555f7;fec5c95489c13060192bca6d0d4cc2cb
ERR13336371	PRJEB73710	ERP158450	SAMEA115396765	ERS18417346	Wild rice W1550	W1550 HiFi whole-genome sequencing	ERX12707337	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/071/ERR13336371/ERR13336371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/071/ERR13336371/ERR13336371_2.fastq.gz	59440d24432f93314ffcc95cb0d5c772;d0c615cf2b8017e63f284558fd0804cd	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336371/W1550_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336371/W1550_seedling_clean_2.fastq.gz	f0babc2897b299749d8f9c94f4999fda;61e50888884e67caeefc44c6e8d4bcfd
ERR13336372	PRJEB73710	ERP158450	SAMEA115396766	ERS18417347	Wild rice W1552	W1552 HiFi whole-genome sequencing	ERX12707338	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13336372/ERR13336372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13336372/ERR13336372_2.fastq.gz	9b97bef81bb97aabc873e1f089813003;4d21cb87aa2045c9a704aa83903e963e	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336372/W1552_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336372/W1552_seedling_clean_2.fastq.gz	17ed3d6030ed7ef96b723c9d4ce0a182;0383a2fca016f8f7d4546a26675622e0
