source_accession_code	accession_code	sample_code	species_code	raw_data_type	sequencing_platform	file_role	cluster_name	file_path	file_size	md5	check_status	remark
P64S（培矮64）	P64S		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_200722_213500.subreads.bam	210453397504		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
Y4B（岳4B）	Y4B		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_200724_233839.subreads.bam	211527139328		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
923（923选）	923		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_200121_212535.subreads.bam	122406567936		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
GWX30(赣皖籼30)	GWX30		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_200122_130355.subreads.bam	187904819200		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
33S	33S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample33SG_FRAS192305784-1a_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 12.8GB
33S	33S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample33SJ_FRAS192305785-1a_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 12.8GB
33S	33S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample33SJ_FRAS192305785-1a_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 12.8GB
33S	33S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample33SY_FRAS192305786-1a_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 12.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SY_FRAS192305789-1a_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SY_FRAS192305789-1a_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SJ_FRAS192305788-1b_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SJ_FRAS192305788-1b_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SG_FRAS192305787-1a_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
66S	66S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/sample66SG_FRAS192305787-1a_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 17.8GB
17S	17S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/17S-R_FRAS202339856-1r_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 5GB
17S	17S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/17S-R_FRAS202339856-1r_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 5GB
201B	201B		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/201B-R_FRAS202339854-1r_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 6.4GB
201B	201B		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/201B-R_FRAS202339854-1r_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 6.4GB
P64S（培矮64）	P64S		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/P64-R_FRAS202339858-1r_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
P64S（培矮64）	P64S		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/P64-R_FRAS202339858-1r_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
Y4B（岳4B）	Y4B		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/Y4B-R_FRAS202339857-1r_1.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
Y4B（岳4B）	Y4B		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/Y4B-R_FRAS202339857-1r_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
923（923选）	923		ORYZA_SATIVA	RNA-seq		rnaseq_raw		/home/DATA/whzhang_backup/8Rice/00.Fraser-data			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
GWX30(赣皖籼30)	GWX30		ORYZA_SATIVA	RNA-seq		raw_reads_R2		/home/DATA/whzhang_backup/8Rice/00.Fraser-data/GWX30-R_FRAS202339858-1r_2.fq.gz			unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是；原始记录数据大小: 4.9GB
