run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR13336223	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/023/ERR13336223/ERR13336223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/023/ERR13336223/ERR13336223_2.fastq.gz	3026718656;3246703294	7f4d0e3230e1286370c7df0fc878e34e;6cc259ad13e0096151b01242500f66ac	ftp.sra.ebi.ac.uk/vol1/err/ERR133/023/ERR13336223/ERR13336223.bam	6203733350	e40f978ef283708f7418a7f035f3d74b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336223/W0179_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336223/W0179_fringe_clean_2.fastq.gz	2903248639;3122669057	92d5b1993cd0d868c785b17d69e9d642;74ee1b94ce520da00058625563d3a590			
ERR13336225	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13336225/ERR13336225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13336225/ERR13336225_2.fastq.gz	1799537930;1830520064	6c0a2092d62bbb4dd0b4bd646fa90e1e;57df8ae44c3c2dd60d0e03a1899ec6d8	ftp.sra.ebi.ac.uk/vol1/err/ERR133/025/ERR13336225/ERR13336225.bam	3445355905	765c9f2cbfaebe65d92c9560e50d7a68	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336225/W0234_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336225/W0234_fringe_clean_2.fastq.gz	1699390601;1730534940	4a5eb950df9e9779fed80ea9aa5cb526;b91702a44bccc3840dcb123e55db481d			
ERR13336232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13336232/ERR13336232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/032/ERR13336232/ERR13336232_2.fastq.gz	3713255531;3696133644	02f1930a60933f7ec00b58198ad5d8e3;e671a71fdbc9db4cbef44a3da89e7a18	ftp.sra.ebi.ac.uk/vol1/err/ERR133/032/ERR13336232/ERR13336232.bam	7201734391	1862a500414fbdebbb038398ac0db367	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336232/W0634_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336232/W0634_fringe_clean_2.fastq.gz	3513178627;3497048556	42c0e410e6561bbb75e6a6c889679df3;aa98e85fb74bb388987449d1090b7aca			
ERR13336234	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13336234/ERR13336234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/034/ERR13336234/ERR13336234_2.fastq.gz	2134857082;2187687700	d390c5b4e916e883e4e8fda871338998;436b595779596154a487ee06a188ede9	ftp.sra.ebi.ac.uk/vol1/err/ERR133/034/ERR13336234/ERR13336234.bam	4112840601	5b940991cbe2430fe6bb241aa9293727	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336234/W1084_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336234/W1084_fringe_clean_2.fastq.gz	2013683314;2066700302	0fc2bad939f97b7d7c822cb7faa4d7cd;46e6970b94216850e9cf9adfc75aa9d1			
ERR13336236	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13336236/ERR13336236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/036/ERR13336236/ERR13336236_2.fastq.gz	2968545662;3043794073	e43c8f6baa304d42b676c297bcef3b0d;25190107f09d84f0aa3426cf39aaf7b9	ftp.sra.ebi.ac.uk/vol1/err/ERR133/036/ERR13336236/ERR13336236.bam	5969536790	80aedaaa7df0edf3b5c2174afcd17109	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336236/W1107_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336236/W1107_fringe_clean_2.fastq.gz	2868652258;2943572579	5e7289c2c309eb33cc26ea8c4fc1e245;2a22a118af8174049ec92d0e8e8a4601			
ERR13336237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/037/ERR13336237/ERR13336237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/037/ERR13336237/ERR13336237_2.fastq.gz	2760931391;2992088538	200781123ad2fdf8e08b1f5c120c8692;dccbfee3b6c87df21a99132e75144215	ftp.sra.ebi.ac.uk/vol1/err/ERR133/037/ERR13336237/ERR13336237.bam	5675967123	f3a580d11f5a10265a738d0e2e4166d2	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336237/W1126_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336237/W1126_fringe_clean_2.fastq.gz	2646348310;2881733168	3968e116b0e223a142ff250e727a244a;88edb7f097c0bbc5bf3d70bcc75a5063			
ERR13336239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13336239/ERR13336239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13336239/ERR13336239_2.fastq.gz	3363897711;3742443416	7c8b154e151e1bcf4de7fc5623780ce4;e1a3da931229aa6505311fb3803da135	ftp.sra.ebi.ac.uk/vol1/err/ERR133/039/ERR13336239/ERR13336239.bam	7059573300	5b07b1ac1d756b9a5934ff935ba8c51c	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336239/W1292_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336239/W1292_fringe_clean_2.fastq.gz	3224411105;3605732929	39d0a1cb13bb1cb5a9bcbdd2117a03cc;60f6e2d631fb73bf8a79218234546cd6			
ERR13336242	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13336242/ERR13336242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13336242/ERR13336242_2.fastq.gz	3077592095;3399195714	4f914771a86f676d6e34d543ce163e33;917e7af5c3789c6cdb4a70b0a6e71044	ftp.sra.ebi.ac.uk/vol1/err/ERR133/042/ERR13336242/ERR13336242.bam	6420693930	ffaf406c9b612e3007dcc9189ae93284	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336242/W1553_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336242/W1553_fringe_clean_2.fastq.gz	2949169404;3274467507	aa6ce4aa23da8dece57b5d9b1da2bd09;cd6dc8fff21fce123eb2ba9e1d6b0df5			
ERR13336243	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336243/ERR13336243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336243/ERR13336243_2.fastq.gz	2768149464;3077325174	5a19bb42a165b2216a55f7df96aeea90;5fdf0b61b655d83ebdb79a71c61e037b	ftp.sra.ebi.ac.uk/vol1/err/ERR133/043/ERR13336243/ERR13336243.bam	5792588922	8c32a92d2caf9c21df198bf8d907a047	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336243/W1556_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336243/W1556_fringe_clean_2.fastq.gz	2657804836;2970657325	0429f39c2346950bcad6811209221cc6;a6e6c38f4be83d61a0fb090bcd7c28fc			
ERR13336244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336244/ERR13336244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336244/ERR13336244_2.fastq.gz	2672841876;3012990983	518f61062e7bd2469e2a8dd629daa2ee;5de572eeee34a2c7371f2314622eaff2	ftp.sra.ebi.ac.uk/vol1/err/ERR133/044/ERR13336244/ERR13336244.bam	5621280281	3ff1eab61995535dae8c83717c317981	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336244/W1557_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336244/W1557_fringe_clean_2.fastq.gz	2568473182;2911425068	d26ce0b19ba344aff6063ed4591dbc0f;768148c7a979fd2fa959beda5f793c81			
