annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_Haomake (K)	Haomake (K)	ASM_Haomake (K)	Haomake (K) annotation		true	ORYZA_SATIVA				annotation.Haomake (K).gff	GFF	
ANN_Haoxiang	Haoxiang	ASM_Haoxiang	Haoxiang annotation		true	ORYZA_SATIVA				annotation.Haoxiang.gff	GFF	
ANN_HBK	HBK	ASM_HBK	HBK annotation		true	ORYZA_SATIVA				annotation.HBK.gff	GFF	
ANN_Heibiao	Heibiao	ASM_Heibiao	Heibiao annotation		true	ORYZA_SATIVA				annotation.Heibiao.gff	GFF	
ANN_Heidu 4	Heidu 4	ASM_Heidu 4	Heidu 4 annotation		true	ORYZA_SATIVA				annotation.Heidu 4.gff	GFF	
ANN_Heimangdao	Heimangdao	ASM_Heimangdao	Heimangdao annotation		true	ORYZA_SATIVA				annotation.Heimangdao.gff	GFF	
ANN_HHZ	HHZ	ASM_HHZ	HHZ annotation		true	ORYZA_SATIVA				annotation.HHZ.gff	GFF	
ANN_HMXRS1	HMXRS1	ASM_HMXRS1	HMXRS1 annotation		true	ORYZA_SATIVA				annotation.HMXRS1.gff	GFF	
ANN_HMZ	HMZ	ASM_HMZ	HMZ annotation		true	ORYZA_SATIVA				annotation.HMZ.gff	GFF	
ANN_Hongainuo	Hongainuo	ASM_Hongainuo	Hongainuo annotation		true	ORYZA_SATIVA				annotation.Hongainuo.gff	GFF	
ANN_Honggenghangu3	Honggenghangu3	ASM_Honggenghangu3	Honggenghangu3 annotation		true	ORYZA_SATIVA				annotation.Honggenghangu3.gff	GFF	
ANN_Honggu	Honggu	ASM_Honggu	Honggu annotation		true	ORYZA_SATIVA				annotation.Honggu.gff	GFF	
ANN_Hongmisandan	Hongmisandan	ASM_Hongmisandan	Hongmisandan annotation		true	ORYZA_SATIVA				annotation.Hongmisandan.gff	GFF	
ANN_Hongse 90	Hongse 90	ASM_Hongse 90	Hongse 90 annotation		true	ORYZA_SATIVA				annotation.Hongse 90.gff	GFF	
ANN_Hongwan 1	Hongwan 1	ASM_Hongwan 1	Hongwan 1 annotation		true	ORYZA_SATIVA				annotation.Hongwan 1.gff	GFF	
ANN_Huangsiguizhan	Huangsiguizhan	ASM_Huangsiguizhan	Huangsiguizhan annotation		true	ORYZA_SATIVA				annotation.Huangsiguizhan.gff	GFF	
ANN_Huhui 91269	Huhui 91269	ASM_Huhui 91269	Huhui 91269 annotation		true	ORYZA_SATIVA				annotation.Huhui 91269.gff	GFF	
ANN_HZ	HZ	ASM_HZ	HZ annotation		true	ORYZA_SATIVA				annotation.HZ.gff	GFF	
ANN_II32	II32	ASM_II32	II32 annotation		true	ORYZA_SATIVA				annotation.II32.gff	GFF	
ANN_IR 10179-23-1-3	IR 10179-23-1-3	ASM_IR 10179-23-1-3	IR 10179-23-1-3 annotation		true	ORYZA_SATIVA				annotation.IR 10179-23-1-3.gff	GFF	
ANN_IR 661-1	IR 661-1	ASM_IR 661-1	IR 661-1 annotation		true	ORYZA_SATIVA				annotation.IR 661-1.gff	GFF	
ANN_IR24	IR24	ASM_IR24	IR24 annotation		true	ORYZA_SATIVA				annotation.IR24.gff	GFF	
ANN_IR26	IR26	ASM_IR26	IR26 annotation		true	ORYZA_SATIVA				annotation.IR26.gff	GFF	
ANN_IR64	IR64	ASM_IR64	IR64 annotation		true	ORYZA_SATIVA	Public database	Public database import		annotation.IR64.gff	GFF	IR64 annotation imported from a public database and stored as annotation.IR64.gff.
ANN_IR64_20sd	IR64_20sd	ASM_IR64_20sd	IR64_20sd annotation		true	ORYZA_SATIVA				annotation.IR64_20sd.gff	GFF	
ANN_IR64_21cell	IR64_21cell	ASM_IR64_21cell	IR64_21cell annotation		true	ORYZA_SATIVA				annotation.IR64_21cell.gff	GFF	
ANN_IR64_22cr	IR64_22cr	ASM_IR64_22cr	IR64_22cr annotation		true	ORYZA_SATIVA				annotation.IR64_22cr.gff	GFF	
ANN_IR8	IR8	ASM_IR8	IR8 annotation		true	ORYZA_SATIVA				annotation.IR8.gff	GFF	
ANN_IRAT 10	IRAT 10	ASM_IRAT 10	IRAT 10 annotation		true	ORYZA_SATIVA				annotation.IRAT 10.gff	GFF	
ANN_IRGC104165	IRGC104165	ASM_IRGC104165	IRGC104165 annotation		true	ORYZA_SATIVA				annotation.IRGC104165.gff	GFF	
ANN_ITA 221	ITA 221	ASM_ITA 221	ITA 221 annotation		true	ORYZA_SATIVA				annotation.ITA 221.gff	GFF	
ANN_J34	J34	ASM_J34	J34 annotation		true	ORYZA_SATIVA				annotation.J34.gff	GFF	
ANN_J4155	J4155	ASM_J4155	J4155 annotation		true	ORYZA_SATIVA				annotation.J4155.gff	GFF	
ANN_J4155S	J4155S	ASM_J4155S	J4155S annotation		true	ORYZA_SATIVA				annotation.J4155S.gff	GFF	
ANN_Jaibattey	Jaibattey	ASM_Jaibattey	Jaibattey annotation		true	ORYZA_SATIVA				annotation.Jaibattey.gff	GFF	
ANN_Jiabala	Jiabala	ASM_Jiabala	Jiabala annotation		true	ORYZA_SATIVA				annotation.Jiabala.gff	GFF	
ANN_Jianghuadao	Jianghuadao	ASM_Jianghuadao	Jianghuadao annotation		true	ORYZA_SATIVA				annotation.Jianghuadao.gff	GFF	
ANN_Jiangnongzao 1 B	Jiangnongzao 1 B	ASM_Jiangnongzao 1 B	Jiangnongzao 1 B annotation		true	ORYZA_SATIVA				annotation.Jiangnongzao 1 B.gff	GFF	
ANN_Jiefangxian	Jiefangxian	ASM_Jiefangxian	Jiefangxian annotation		true	ORYZA_SATIVA				annotation.Jiefangxian.gff	GFF	
ANN_Jiienuo	Jiienuo	ASM_Jiienuo	Jiienuo annotation		true	ORYZA_SATIVA				annotation.Jiienuo.gff	GFF	
ANN_Jinbaoyin	Jinbaoyin	ASM_Jinbaoyin	Jinbaoyin annotation		true	ORYZA_SATIVA				annotation.Jinbaoyin.gff	GFF	
ANN_Jindao 1	Jindao 1	ASM_Jindao 1	Jindao 1 annotation		true	ORYZA_SATIVA				annotation.Jindao 1.gff	GFF	
ANN_Jinghu3 B	Jinghu3 B	ASM_Jinghu3 B	Jinghu3 B annotation		true	ORYZA_SATIVA				annotation.Jinghu3 B.gff	GFF	
ANN_Jinnante 43B	Jinnante 43B	ASM_Jinnante 43B	Jinnante 43B annotation		true	ORYZA_SATIVA				annotation.Jinnante 43B.gff	GFF	
ANN_Jinxibai2	Jinxibai2	ASM_Jinxibai2	Jinxibai2 annotation		true	ORYZA_SATIVA				annotation.Jinxibai2.gff	GFF	
ANN_Jinzhinuo4	Jinzhinuo4	ASM_Jinzhinuo4	Jinzhinuo4 annotation		true	ORYZA_SATIVA				annotation.Jinzhinuo4.gff	GFF	
ANN_JR2031	JR2031	ASM_JR2031	JR2031 annotation		true	ORYZA_SATIVA				annotation.JR2031.gff	GFF	
ANN_JWR 221	JWR 221	ASM_JWR 221	JWR 221 annotation		true	ORYZA_SATIVA				annotation.JWR 221.gff	GFF	
ANN_K 24	K 24	ASM_K 24	K 24 annotation		true	ORYZA_SATIVA				annotation.K 24.gff	GFF	
