annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_Kahamu	Kahamu	ASM_Kahamu	Kahamu annotation		true	ORYZA_SATIVA				annotation.Kahamu.gff	GFF	
ANN_Kasalath	Kasalath	ASM_Kasalath	Kasalath annotation		true	ORYZA_SATIVA				annotation.Kasalath.gff	GFF	
ANN_Keluoduo B	Keluoduo B	ASM_Keluoduo B	Keluoduo B annotation		true	ORYZA_SATIVA				annotation.Keluoduo B.gff	GFF	
ANN_KitaakeX	KitaakeX	ASM_KitaakeX	KitaakeX annotation		true	ORYZA_SATIVA				annotation.KitaakeX.gff	GFF	
ANN_Kosh	Kosh	ASM_Kosh	Kosh annotation		true	ORYZA_SATIVA				annotation.Kosh.gff	GFF	
ANN_KY131	KY131	ASM_KY131	KY131 annotation		true	ORYZA_SATIVA				annotation.KY131.gff	GFF	
ANN_L 301B	L 301B	ASM_L 301B	L 301B annotation		true	ORYZA_SATIVA				annotation.L 301B.gff	GFF	
ANN_Lamujia	Lamujia	ASM_Lamujia	Lamujia annotation		true	ORYZA_SATIVA				annotation.Lamujia.gff	GFF	
ANN_LanSheng	LanSheng	ASM_LanSheng	LanSheng annotation		true	ORYZA_SATIVA				annotation.LanSheng.gff	GFF	
ANN_Laoguangtou 83	Laoguangtou 83	ASM_Laoguangtou 83	Laoguangtou 83 annotation		true	ORYZA_SATIVA				annotation.Laoguangtou 83.gff	GFF	
ANN_Laohongdao	Laohongdao	ASM_Laohongdao	Laohongdao annotation		true	ORYZA_SATIVA				annotation.Laohongdao.gff	GFF	
ANN_Laozaogu	Laozaogu	ASM_Laozaogu	Laozaogu annotation		true	ORYZA_SATIVA				annotation.Laozaogu.gff	GFF	
ANN_LDXZ	LDXZ	ASM_LDXZ	LDXZ annotation		true	ORYZA_SATIVA				annotation.LDXZ.gff	GFF	
ANN_Lemont	Lemont	ASM_Lemont	Lemont annotation		true	ORYZA_SATIVA				annotation.Lemont.gff	GFF	
ANN_Lemont_21cell	Lemont_21cell	ASM_Lemont_21cell	Lemont_21cell annotation		true	ORYZA_SATIVA				annotation.Lemont_21cell.gff	GFF	
ANN_lemont_22cr	lemont_22cr	ASM_lemont_22cr	lemont_22cr annotation		true	ORYZA_SATIVA				annotation.lemont_22cr.gff	GFF	
ANN_Lengshuigu 2	Lengshuigu 2	ASM_Lengshuigu 2	Lengshuigu 2 annotation		true	ORYZA_SATIVA				annotation.Lengshuigu 2.gff	GFF	
ANN_Lengshuinuo	Lengshuinuo	ASM_Lengshuinuo	Lengshuinuo annotation		true	ORYZA_SATIVA				annotation.Lengshuinuo.gff	GFF	
ANN_Liming B	Liming B	ASM_Liming B	Liming B annotation		true	ORYZA_SATIVA				annotation.Liming B.gff	GFF	
ANN_Linguo	Linguo	ASM_Linguo	Linguo annotation		true	ORYZA_SATIVA				annotation.Linguo.gff	GFF	
ANN_Liusha 1	Liusha 1	ASM_Liusha 1	Liusha 1 annotation		true	ORYZA_SATIVA				annotation.Liusha 1.gff	GFF	
ANN_Liushizao	Liushizao	ASM_Liushizao	Liushizao annotation		true	ORYZA_SATIVA				annotation.Liushizao.gff	GFF	
ANN_LJ	LJ	ASM_LJ	LJ annotation		true	ORYZA_SATIVA				annotation.LJ.gff	GFF	
ANN_LK638S	LK638S	ASM_LK638S	LK638S annotation		true	ORYZA_SATIVA				annotation.LK638S.gff	GFF	
ANN_Longhuamaohu	Longhuamaohu	ASM_Longhuamaohu	Longhuamaohu annotation		true	ORYZA_SATIVA				annotation.Longhuamaohu.gff	GFF	
ANN_LTH	LTH	ASM_LTH	LTH annotation		true	ORYZA_SATIVA				annotation.LTH.gff	GFF	
ANN_Lucaihao	Lucaihao	ASM_Lucaihao	Lucaihao annotation		true	ORYZA_SATIVA				annotation.Lucaihao.gff	GFF	
ANN_Luke 3	Luke 3	ASM_Luke 3	Luke 3 annotation		true	ORYZA_SATIVA				annotation.Luke 3.gff	GFF	
ANN_Malaihong	Malaihong	ASM_Malaihong	Malaihong annotation		true	ORYZA_SATIVA				annotation.Malaihong.gff	GFF	
ANN_Mamagu	Mamagu	ASM_Mamagu	Mamagu annotation		true	ORYZA_SATIVA				annotation.Mamagu.gff	GFF	
ANN_Meihuanuo	Meihuanuo	ASM_Meihuanuo	Meihuanuo annotation		true	ORYZA_SATIVA				annotation.Meihuanuo.gff	GFF	
ANN_Menjiading 2	Menjiading 2	ASM_Menjiading 2	Menjiading 2 annotation		true	ORYZA_SATIVA				annotation.Menjiading 2.gff	GFF	
ANN_Menjiagao 1	Menjiagao 1	ASM_Menjiagao 1	Menjiagao 1 annotation		true	ORYZA_SATIVA				annotation.Menjiagao 1.gff	GFF	
ANN_MH63RS3	MH63RS3	ASM_MH63RS3	MH63RS3 annotation		true	ORYZA_SATIVA				annotation.MH63RS3.gff	GFF	
ANN_Minbeiwanxian	Minbeiwanxian	ASM_Minbeiwanxian	Minbeiwanxian annotation		true	ORYZA_SATIVA				annotation.Minbeiwanxian.gff	GFF	
ANN_Mitak	Mitak	ASM_Mitak	Mitak annotation		true	ORYZA_SATIVA				annotation.Mitak.gff	GFF	
ANN_Miyang46	Miyang46	ASM_Miyang46	Miyang46 annotation		true	ORYZA_SATIVA				annotation.Miyang46.gff	GFF	
ANN_Momi	Momi	ASM_Momi	Momi annotation		true	ORYZA_SATIVA				annotation.Momi.gff	GFF	
ANN_Mowangguneiza	Mowangguneiza	ASM_Mowangguneiza	Mowangguneiza annotation		true	ORYZA_SATIVA				annotation.Mowangguneiza.gff	GFF	
ANN_Muguanuo	Muguanuo	ASM_Muguanuo	Muguanuo annotation		true	ORYZA_SATIVA				annotation.Muguanuo.gff	GFF	
ANN_Muxiqiu	Muxiqiu	ASM_Muxiqiu	Muxiqiu annotation		true	ORYZA_SATIVA				annotation.Muxiqiu.gff	GFF	
ANN_N22_21cell	N22_21cell	ASM_N22_21cell	N22_21cell annotation		true	ORYZA_SATIVA				annotation.N22_21cell.gff	GFF	
ANN_N22_22cr	N22_22cr	ASM_N22_22cr	N22_22cr annotation		true	ORYZA_SATIVA				annotation.N22_22cr.gff	GFF	
ANN_Nabated A Smar	Nabated A Smar	ASM_Nabated A Smar	Nabated A Smar annotation		true	ORYZA_SATIVA				annotation.Nabated A Smar.gff	GFF	
ANN_NamRoo	NamRoo	ASM_NamRoo	NamRoo annotation		true	ORYZA_SATIVA				annotation.NamRoo.gff	GFF	
ANN_Nangaogu	Nangaogu	ASM_Nangaogu	Nangaogu annotation		true	ORYZA_SATIVA				annotation.Nangaogu.gff	GFF	
ANN_Nanjing 11	Nanjing 11	ASM_Nanjing 11	Nanjing 11 annotation		true	ORYZA_SATIVA				annotation.Nanjing 11.gff	GFF	
ANN_Nanoay P.A	Nanoay P.A	ASM_Nanoay P.A	Nanoay P.A annotation		true	ORYZA_SATIVA				annotation.Nanoay P.A.gff	GFF	
ANN_Nantehao	Nantehao	ASM_Nantehao	Nantehao annotation		true	ORYZA_SATIVA				annotation.Nantehao.gff	GFF	
ANN_Nanxiongzaoyouzhan	Nanxiongzaoyouzhan	ASM_Nanxiongzaoyouzhan	Nanxiongzaoyouzhan annotation		true	ORYZA_SATIVA				annotation.Nanxiongzaoyouzhan.gff	GFF	
ANN_NH265	NH265	ASM_NH265	NH265 annotation		true	ORYZA_SATIVA				annotation.NH265.gff	GFF	
ANN_NH266	NH266	ASM_NH266	NH266 annotation		true	ORYZA_SATIVA				annotation.NH266.gff	GFF	
ANN_NH267	NH267	ASM_NH267	NH267 annotation		true	ORYZA_SATIVA				annotation.NH267.gff	GFF	
ANN_NH268	NH268	ASM_NH268	NH268 annotation		true	ORYZA_SATIVA				annotation.NH268.gff	GFF	
ANN_NH269	NH269	ASM_NH269	NH269 annotation		true	ORYZA_SATIVA				annotation.NH269.gff	GFF	
ANN_NH270	NH270	ASM_NH270	NH270 annotation		true	ORYZA_SATIVA				annotation.NH270.gff	GFF	
ANN_NH271	NH271	ASM_NH271	NH271 annotation		true	ORYZA_SATIVA				annotation.NH271.gff	GFF	
ANN_NH272	NH272	ASM_NH272	NH272 annotation		true	ORYZA_SATIVA				annotation.NH272.gff	GFF	
ANN_NH273	NH273	ASM_NH273	NH273 annotation		true	ORYZA_SATIVA				annotation.NH273.gff	GFF	
ANN_NH274	NH274	ASM_NH274	NH274 annotation		true	ORYZA_SATIVA				annotation.NH274.gff	GFF	
ANN_NH275	NH275	ASM_NH275	NH275 annotation		true	ORYZA_SATIVA				annotation.NH275.gff	GFF	
ANN_NH277	NH277	ASM_NH277	NH277 annotation		true	ORYZA_SATIVA				annotation.NH277.gff	GFF	
ANN_NH278	NH278	ASM_NH278	NH278 annotation		true	ORYZA_SATIVA				annotation.NH278.gff	GFF	
ANN_NH279	NH279	ASM_NH279	NH279 annotation		true	ORYZA_SATIVA				annotation.NH279.gff	GFF	
ANN_NH280	NH280	ASM_NH280	NH280 annotation		true	ORYZA_SATIVA				annotation.NH280.gff	GFF	
ANN_NH281	NH281	ASM_NH281	NH281 annotation		true	ORYZA_SATIVA				annotation.NH281.gff	GFF	
ANN_NH282	NH282	ASM_NH282	NH282 annotation		true	ORYZA_SATIVA				annotation.NH282.gff	GFF	
ANN_NH283	NH283	ASM_NH283	NH283 annotation		true	ORYZA_SATIVA				annotation.NH283.gff	GFF	
ANN_NH284	NH284	ASM_NH284	NH284 annotation		true	ORYZA_SATIVA				annotation.NH284.gff	GFF	
ANN_NH285	NH285	ASM_NH285	NH285 annotation		true	ORYZA_SATIVA				annotation.NH285.gff	GFF	
ANN_NH286	NH286	ASM_NH286	NH286 annotation		true	ORYZA_SATIVA				annotation.NH286.gff	GFF	
ANN_Ninghui 21	Ninghui 21	ASM_Ninghui 21	Ninghui 21 annotation		true	ORYZA_SATIVA				annotation.Ninghui 21.gff	GFF	
ANN_Nipponbare	Nipponbare	ASM_Nipponbare	Nipponbare annotation		true	ORYZA_SATIVA				annotation.Nipponbare.gff	GFF	
ANN_NJ11	NJ11	ASM_NJ11	NJ11 annotation		true	ORYZA_SATIVA				annotation.NJ11.gff	GFF	
ANN_NJ6	NJ6	ASM_NJ6	NJ6 annotation		true	ORYZA_SATIVA				annotation.NJ6.gff	GFF	
ANN_Npb-MSU	Npb-MSU	ASM_Npb-MSU	Npb-MSU annotation		true	ORYZA_SATIVA				annotation.Npb-MSU.gff	GFF	
ANN_Npb-T2T	Npb-T2T	ASM_Npb-T2T	Npb-T2T annotation		true	ORYZA_SATIVA				annotation.Npb-T2T.gff	GFF	
ANN_ObarRS3	ObarRS3	ASM_ObarRS3	ObarRS3 annotation		true	ORYZA_SATIVA				annotation.ObarRS3.gff	GFF	
ANN_OglaRS2	OglaRS2	ASM_OglaRS2	OglaRS2 annotation		true	ORYZA_SATIVA				annotation.OglaRS2.gff	GFF	
ANN_OgluRS3	OgluRS3	ASM_OgluRS3	OgluRS3 annotation		true	ORYZA_SATIVA				annotation.OgluRS3.gff	GFF	
ANN_OmerRS3	OmerRS3	ASM_OmerRS3	OmerRS3 annotation		true	ORYZA_SATIVA				annotation.OmerRS3.gff	GFF	
ANN_OnivRS2	OnivRS2	ASM_OnivRS2	OnivRS2 annotation		true	ORYZA_SATIVA				annotation.OnivRS2.gff	GFF	
ANN_P1790-5-1M-4-5M-1B-3M-B	P1790-5-1M-4-5M-1B-3M-B	ASM_P1790-5-1M-4-5M-1B-3M-B	P1790-5-1M-4-5M-1B-3M-B annotation		true	ORYZA_SATIVA				annotation.P1790-5-1M-4-5M-1B-3M-B.gff	GFF	
ANN_P64S	P64S	ASM_P64S	P64S annotation		true	ORYZA_SATIVA				annotation.P64S.gff	GFF	
ANN_PA64S	PA64S	ASM_PA64S	PA64S annotation		true	ORYZA_SATIVA				annotation.PA64S.gff	GFF	
ANN_Pei C122	Pei C122	ASM_Pei C122	Pei C122 annotation		true	ORYZA_SATIVA				annotation.Pei C122.gff	GFF	
ANN_PI653432	PI653432	ASM_PI653432	PI653432 annotation		true	ORYZA_SATIVA				annotation.PI653432.gff	GFF	
ANN_PI653439	PI653439	ASM_PI653439	PI653439 annotation		true	ORYZA_SATIVA				annotation.PI653439.gff	GFF	
ANN_PMS 10B	PMS 10B	ASM_PMS 10B	PMS 10B annotation		true	ORYZA_SATIVA				annotation.PMS 10B.gff	GFF	
ANN_PPR1	PPR1	ASM_PPR1	PPR1 annotation		true	ORYZA_SATIVA				annotation.PPR1.gff	GFF	
ANN_Qianchonglang2	Qianchonglang2	ASM_Qianchonglang2	Qianchonglang2 annotation		true	ORYZA_SATIVA				annotation.Qianchonglang2.gff	GFF	
ANN_Qingke	Qingke	ASM_Qingke	Qingke annotation		true	ORYZA_SATIVA				annotation.Qingke.gff	GFF	
ANN_Qingnuo Kyohatamochi	Qingnuo Kyohatamochi	ASM_Qingnuo Kyohatamochi	Qingnuo Kyohatamochi annotation		true	ORYZA_SATIVA				annotation.Qingnuo Kyohatamochi.gff	GFF	
ANN_Qingsiai 16B	Qingsiai 16B	ASM_Qingsiai 16B	Qingsiai 16B annotation		true	ORYZA_SATIVA				annotation.Qingsiai 16B.gff	GFF	
ANN_Qitoubaigu3	Qitoubaigu3	ASM_Qitoubaigu3	Qitoubaigu3 annotation		true	ORYZA_SATIVA				annotation.Qitoubaigu3.gff	GFF	
ANN_Qitougu	Qitougu	ASM_Qitougu	Qitougu annotation		true	ORYZA_SATIVA				annotation.Qitougu.gff	GFF	
ANN_Qiuqianbai	Qiuqianbai	ASM_Qiuqianbai	Qiuqianbai annotation		true	ORYZA_SATIVA				annotation.Qiuqianbai.gff	GFF	
ANN_Qiutianxiaoting	Qiutianxiaoting	ASM_Qiutianxiaoting	Qiutianxiaoting annotation		true	ORYZA_SATIVA				annotation.Qiutianxiaoting.gff	GFF	
ANN_R42	R42	ASM_R42	R42 annotation		true	ORYZA_SATIVA				annotation.R42.gff	GFF	
ANN_R498	R498	ASM_R498	R498 annotation		true	ORYZA_SATIVA				annotation.R498.gff	GFF	
ANN_R498_IGDBv1_Allset	R498	ASM_R498	R498 IGDBv1.Allset annotation	IGDBv1.Allset	false	ORYZA_SATIVA				annotation.R498.IGDBv1.Allset.gff	GFF	
ANN_R527	R527	ASM_R527	R527 annotation		true	ORYZA_SATIVA				annotation.R527.gff	GFF	
ANN_R70	R70	ASM_R70	R70 annotation		true	ORYZA_SATIVA				annotation.R70.gff	GFF	
ANN_R9311	R9311	ASM_R9311	R9311 annotation		true	ORYZA_SATIVA				annotation.R9311.gff	GFF	
ANN_RD23	RD23	ASM_RD23	RD23 annotation		true	ORYZA_SATIVA				annotation.RD23.gff	GFF	
ANN_Rohini	Rohini	ASM_Rohini	Rohini annotation		true	ORYZA_SATIVA				annotation.Rohini.gff	GFF	
ANN_RP 1570-44-1	RP 1570-44-1	ASM_RP 1570-44-1	RP 1570-44-1 annotation		true	ORYZA_SATIVA				annotation.RP 1570-44-1.gff	GFF	
ANN_RY2	RY2	ASM_RY2	RY2 annotation		true	ORYZA_SATIVA				annotation.RY2.gff	GFF	
ANN_S548	S548	ASM_S548	S548 annotation		true	ORYZA_SATIVA				annotation.S548.gff	GFF	
ANN_Sanbaili	Sanbaili	ASM_Sanbaili	Sanbaili annotation		true	ORYZA_SATIVA				annotation.Sanbaili.gff	GFF	
ANN_SanQishiluo	SanQishiluo	ASM_SanQishiluo	SanQishiluo annotation		true	ORYZA_SATIVA				annotation.SanQishiluo.gff	GFF	
ANN_Sansuijin	Sansuijin	ASM_Sansuijin	Sansuijin annotation		true	ORYZA_SATIVA				annotation.Sansuijin.gff	GFF	
ANN_Seln 244A6-20	Seln 244A6-20	ASM_Seln 244A6-20	Seln 244A6-20 annotation		true	ORYZA_SATIVA				annotation.Seln 244A6-20.gff	GFF	
ANN_Shufeng 101	Shufeng 101	ASM_Shufeng 101	Shufeng 101 annotation		true	ORYZA_SATIVA				annotation.Shufeng 101.gff	GFF	
ANN_SLK 2-18-2	SLK 2-18-2	ASM_SLK 2-18-2	SLK 2-18-2 annotation		true	ORYZA_SATIVA				annotation.SLK 2-18-2.gff	GFF	
ANN_Sri Lanka 1	Sri Lanka 1	ASM_Sri Lanka 1	Sri Lanka 1 annotation		true	ORYZA_SATIVA				annotation.Sri Lanka 1.gff	GFF	
ANN_Taidongludao	Taidongludao	ASM_Taidongludao	Taidongludao annotation		true	ORYZA_SATIVA				annotation.Taidongludao.gff	GFF	
ANN_Taishannuo	Taishannuo	ASM_Taishannuo	Taishannuo annotation		true	ORYZA_SATIVA				annotation.Taishannuo.gff	GFF	
ANN_Taizhongzailai 1	Taizhongzailai 1	ASM_Taizhongzailai 1	Taizhongzailai 1 annotation		true	ORYZA_SATIVA				annotation.Taizhongzailai 1.gff	GFF	
ANN_Teqingxuanhui	Teqingxuanhui	ASM_Teqingxuanhui	Teqingxuanhui annotation		true	ORYZA_SATIVA				annotation.Teqingxuanhui.gff	GFF	
ANN_Tetep	Tetep	ASM_Tetep	Tetep annotation		true	ORYZA_SATIVA				annotation.Tetep.gff	GFF	
ANN_TF	TF	ASM_TF	TF annotation		true	ORYZA_SATIVA				annotation.TF.gff	GFF	
ANN_Tjantajan	Tjantajan	ASM_Tjantajan	Tjantajan annotation		true	ORYZA_SATIVA				annotation.Tjantajan.gff	GFF	
ANN_TM	TM	ASM_TM	TM annotation		true	ORYZA_SATIVA				annotation.TM.gff	GFF	
ANN_TN1	TN1	ASM_TN1	TN1 annotation		true	ORYZA_SATIVA				annotation.TN1.gff	GFF	
ANN_TQ	TQ	ASM_TQ	TQ annotation		true	ORYZA_SATIVA				annotation.TQ.gff	GFF	
ANN_Tumba	Tumba	ASM_Tumba	Tumba annotation		true	ORYZA_SATIVA				annotation.Tumba.gff	GFF	
ANN_Vietnam Zaodao	Vietnam Zaodao	ASM_Vietnam Zaodao	Vietnam Zaodao annotation		true	ORYZA_SATIVA				annotation.Vietnam Zaodao.gff	GFF	
ANN_W0103_PRJEB73710	W0103	ASM_W0103_PRJEB73710	W0103 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0103.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0107_PRJEB73710	W0107	ASM_W0107_PRJEB73710	W0107 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0107.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0108_PRJEB73710	W0108	ASM_W0108_PRJEB73710	W0108 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0108.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0133_PRJEB73710	W0133	ASM_W0133_PRJEB73710	W0133 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0133.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0135_PRJEB73710	W0135	ASM_W0135_PRJEB73710	W0135 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0135.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0136_PRJEB73710	W0136	ASM_W0136_PRJEB73710	W0136 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0136.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0137_PRJEB73710	W0137	ASM_W0137_PRJEB73710	W0137 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0137.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0143_PRJEB73710	W0143	ASM_W0143_PRJEB73710	W0143 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0143.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0145_PRJEB73710	W0145	ASM_W0145_PRJEB73710	W0145 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0145.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0147_PRJEB73710	W0147	ASM_W0147_PRJEB73710	W0147 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0147.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0149_PRJEB73710	W0149	ASM_W0149_PRJEB73710	W0149 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0149.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0157_PRJEB73710	W0157	ASM_W0157_PRJEB73710	W0157 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0157.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0164_PRJEB73710	W0164	ASM_W0164_PRJEB73710	W0164 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0164.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0166_PRJEB73710	W0166	ASM_W0166_PRJEB73710	W0166 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0166.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0169_PRJEB73710	W0169	ASM_W0169_PRJEB73710	W0169 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0169.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0171_PRJEB73710	W0171	ASM_W0171_PRJEB73710	W0171 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0171.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0179_PRJEB73710	W0179	ASM_W0179_PRJEB73710	W0179 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0179.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0180_PRJEB73710	W0180	ASM_W0180_PRJEB73710	W0180 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0180.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0234_PRJEB73710	W0234	ASM_W0234_PRJEB73710	W0234 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0234.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0573_PRJEB73710	W0573	ASM_W0573_PRJEB73710	W0573 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0573.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0590_PRJEB73710	W0590	ASM_W0590_PRJEB73710	W0590 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0590.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0594_PRJEB73710	W0594	ASM_W0594_PRJEB73710	W0594 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0594.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0596_PRJEB73710	W0596	ASM_W0596_PRJEB73710	W0596 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0596.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0600_PRJEB73710	W0600	ASM_W0600_PRJEB73710	W0600 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0600.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0627_PRJEB73710	W0627	ASM_W0627_PRJEB73710	W0627 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0627.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0630_PRJEB73710	W0630	ASM_W0630_PRJEB73710	W0630 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0630.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0632_PRJEB73710	W0632	ASM_W0632_PRJEB73710	W0632 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0632.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0634_PRJEB73710	W0634	ASM_W0634_PRJEB73710	W0634 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0634.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0639_PRJEB73710	W0639	ASM_W0639_PRJEB73710	W0639 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W0639.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1080_PRJEB73710	W1080	ASM_W1080_PRJEB73710	W1080 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1080.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1084_PRJEB73710	W1084	ASM_W1084_PRJEB73710	W1084 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1084.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1093_PRJEB73710	W1093	ASM_W1093_PRJEB73710	W1093 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1093.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1107_PRJEB73710	W1107	ASM_W1107_PRJEB73710	W1107 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1107.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1117_PRJEB73710	W1117	ASM_W1117_PRJEB73710	W1117 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1117.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1126_PRJEB73710	W1126	ASM_W1126_PRJEB73710	W1126 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1126.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1142_PRJEB73710	W1142	ASM_W1142_PRJEB73710	W1142 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1142.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1214_PRJEB73710	W1214	ASM_W1214_PRJEB73710	W1214 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1214.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1236_PRJEB73710	W1236	ASM_W1236_PRJEB73710	W1236 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1236.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1292_PRJEB73710	W1292	ASM_W1292_PRJEB73710	W1292 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1292.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1411	W1411	ASM_W1411	W1411 annotation		true	ORYZA_SATIVA				annotation.W1411.gff	GFF	
ANN_W1536_PRJEB73710	W1536	ASM_W1536_PRJEB73710	W1536 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1536.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1547_PRJEB73710	W1547	ASM_W1547_PRJEB73710	W1547 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1547.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1550_PRJEB73710	W1550	ASM_W1550_PRJEB73710	W1550 genome annotation		true	ORYZA_RUFIPOGON	Figshare	Figshare	PRJEB73710	annotation.W1550.gff	GFF	Genome annotation associated with rice pangenome assembly
